时间/h,药材半径/cm
40.96666667,1.20000000
40.98333333,1.20000000
41.00000000,1.20000000
41.01666667,1.20000000
41.03333333,1.20000000
41.05000000,1.20000000
41.06666667,1.20000000
41.08333333,1.20000000
41.10000000,1.20000000
41.11666667,1.20000000
41.13333333,1.20000000
41.15000000,1.20000000
41.16666667,1.20000000
41.18333333,1.20000000
41.20000000,1.20000000
41.21666667,1.20000000
41.23333333,1.20000000
41.25000000,1.20000000
41.26666667,1.20000000
41.28333333,1.20000000
41.30000000,1.20000000
41.31666667,1.20000000
41.33333333,1.20000000
41.35000000,1.20000000
41.36666667,1.20000000
41.38333333,1.20000000
41.40000000,1.20000000
41.41666667,1.20000000
41.43333333,1.20000000
41.45000000,1.20000000
41.46666667,1.20000000
41.48333333,1.20000000
41.50000000,1.20000000
41.51666667,1.20000000
41.53333333,1.20000000
41.55000000,1.20000000
41.56666667,1.20000000
41.58333333,1.20000000
41.60000000,1.20000000
41.61666667,1.20000000
41.63333333,1.20000000
41.65000000,1.20000000
41.66666667,1.20000000
41.68333333,1.20000000
41.70000000,1.20000000
41.71666667,1.20000000
41.73333333,1.20000000
41.75000000,1.20000000
41.76666667,1.20000000
41.78333333,1.20000000
41.80000000,1.20000000
41.81666667,1.20000000
41.83333333,1.20000000
41.85000000,1.20000000
41.86666667,1.20000000
41.88333333,1.20000000
41.90000000,1.20000000
41.91666667,1.20000000
41.93333333,1.20000000
41.95000000,1.20000000
41.96666667,1.20000000
41.98333333,1.20000000
42.00000000,1.20000000
42.01666667,1.20000000
42.03333333,1.20000000
42.05000000,1.20000000
42.06666667,1.20000000
42.08333333,1.20000000
42.10000000,1.20000000
42.11666667,1.20000000
42.13333333,1.20000000
42.15000000,1.20000000
42.16666667,1.20000000
42.18333333,1.20000000
42.20000000,1.20000000
42.21666667,1.20000000
42.23333333,1.20000000
42.25000000,1.20000000
42.26666667,1.20000000
42.28333333,1.20000000
42.30000000,1.20000000
42.31666667,1.20000000
42.33333333,1.20000000
42.35000000,1.20000000
42.36666667,1.20000000
42.38333333,1.20000000
42.40000000,1.20000000
42.41666667,1.20000000
42.43333333,1.20000000
42.45000000,1.20000000
42.46666667,1.20000000
42.48333333,1.20000000
42.50000000,1.20000000
42.51666667,1.20000000
42.53333333,1.20000000
42.55000000,1.20000000
42.56666667,1.20000000
42.58333333,1.20000000
42.60000000,1.20000000
42.61666667,1.20000000
42.63333333,1.20000000
42.65000000,1.20000000
42.66666667,1.20000000
42.68333333,1.20000000
42.70000000,1.20000000
42.71666667,1.20000000
42.73333333,1.20000000
42.75000000,1.20000000
42.76666667,1.20000000
42.78333333,1.20000000
42.80000000,1.20000000
42.81666667,1.20000000
42.83333333,1.20000000
42.85000000,1.20000000
42.86666667,1.20000000
42.88333333,1.20000000
42.90000000,1.20000000
42.91666667,1.20000000
42.93333333,1.20000000
42.95000000,1.20000000
42.96666667,1.20000000
42.98333333,1.20000000
43.00000000,1.20000000
43.01666667,1.20000000
43.03333333,1.20000000
43.05000000,1.20000000
43.06666667,1.20000000
43.08333333,1.20000000
43.10000000,1.20000000
43.11666667,1.20000000
43.13333333,1.20000000
43.15000000,1.20000000
43.16666667,1.20000000
43.18333333,1.20000000
43.20000000,1.20000000
43.21666667,1.20000000
43.23333333,1.20000000
43.25000000,1.20000000
43.26666667,1.20000000
43.28333333,1.20000000
43.30000000,1.20000000
43.31666667,1.20000000
43.33333333,1.20000000
43.35000000,1.20000000
43.36666667,1.20000000
43.38333333,1.20000000
43.40000000,1.20000000
43.41666667,1.20000000
43.43333333,1.20000000
43.45000000,1.20000000
